Tweet Number,Tweet,Sentiment
41,【5】Hunter’s 3P! Shockingly Corrupted Sexual Life https://t.co/AxSiNckjul #TRUMP2020 #USA #CCP #MEGA #VOTE #CCPVIREUS #THENEWFEDRALSTATOFCHINA #rnc2020 #GOP #vog #STEVEKBANNON #GNEWS #GTV#MILESGUO #TRUMP #JOEBIDEN #GFASION # #LUDEMEDIA #FOX #FOXNEWS #GOP #HIMALAYA,Neutral
42,"So #Election2020 trending, #Biden win? 🍿",Neutral
43,#JoeBiden on tape on Social Security and Medicare cuts https://t.co/2dgaBSNMLC,Negative
44,Even Japanese folk are worried about censorship in the USA #TwitterCensorship #2020Election #ElectionInterference #biden # https://t.co/4jcksKMcUf,Neutral
45,WATCH: Brad Pitt Narrates Campaign Ad For Joe Biden https://t.co/9nNeXnOWN6 #Biden #BradPitt,Neutral
46,As much as I detests him winning I still wouldn’t call him a coward #Biden #VoteHimOut2020 https://t.co/w5DO6v9qim,Neutral
47,So @vp remembers the address and business hours of the local polling place in Reading PA but #Biden cannot remember what town he’s in?   @realDonaldTrump I love my VP!,Negative
48,"🙏🏼 it ain't over, but it's definitely a start. Thank God #Biden",Positive
49,Who is #JoeBiden? Here's a look at the Democratic Presidential candidate's life and career @JoeBiden #USElection2020 #USElections2020 #USElections @RishabhChkrvrty https://t.co/CUcsIjb1aL,Neutral
50,"COVID cases are increasing in NC. If #Biden had his way that little place would probably be shutdown. It's so small, there can't be that much social distancing space inside. If he's elected, his green policies will make it almost impossible for us to just stop &amp; pick up a shake.",Negative
51,"It's time!  The final Presidential debate is about to start. Either way, this will be the last time we see one of these men on the debate stage. #PresidentialDebate2020 #PresidentialDebate #Trump #Biden",Neutral
52,"America! NEVER NEVER EVER EVER let that happen again! The last four years were the worst. Agonising watching that fool being a racist, lying, twat trying to destroy your country. Fuck him. And every goddamn coward Republican. #biden #USElection2020",Negative
53,“The Trend is Your Friend” – Long-Term Investment Opportunities - https://t.co/VTKA9s0oxA  #stocks #bonds #finance #realestate $ES_F #COVID19 #commodities #bitcoin #US #America #Trump #Biden $SPY $QQQ $DIA $ES_F $CL_F #FX #technology #healthcare #trends ##Election2020 https://t.co/bcb9WI1mDG,Neutral
54,Send this to 100k I'm tired 😴 #Trump #Biden #Elections2020 https://t.co/JNrdsM1xTz,Neutral
55,"#BorisJohnson to stress common policy interests with #JoeBiden After last year’s general election, he described the UK prime minister as “a physical and emotional clone” of Mr Trump. https://t.co/et0EU6OK54 via @financialtimes #Tories #COVID19 #BrexitReality",Neutral
56,@stclairashley #Biden incorrectly states Trump is wrong that minimum wage at $15 would shut businesses down. #Trump didn’t say that. He said people would lose their job. Government mandating minimum wage gets people unemployed #facts.,Neutral
57,One on one with former Vice President #JoeBiden just days before the 2020 election. Watch my exclusive interview with @JoeBiden after the game on @cbs_philly. https://t.co/Fsq2S1J3QZ,Neutral
58,Is this what #democracy looks like? A two hour line to vote in the #Bronx! @dwatchnews_nam @JeffSantosShow @MMFlint @RBReich #democracy @NicholsUprising @Simbabinski1 #NewYork #Election2020 #vote #voteearly #voteearlyday #Biden #Trump #Republicans #Democrats #USA #Election https://t.co/UE2hvArUc0,Negative
59,We’re good Joe you failed on H one and one new record was worse far worse at least we have control of the virus and we’re opening our country you’re a moron #JoeBiden,Negative
60,Doesn't matter what side of the aisle you're on; this is creepy and unacceptable. #JoeBiden https://t.co/sbM2NCwVav,Negative
61,"Donald Trump, “sleepy joe”, and Ruth Baby Ginsburg #Halloween2020 #CostumeContest #2020Elections #Biden #Trump #BidenHarris2020 #RBG @realDonaldTrump @JoeBiden @nbcsnl @FallonTonight @JimmyKimmelLive @KamalaHarris @CNNPolitics https://t.co/ZkPdMCX57B",Neutral
62,"@HaggardHawks ‘Mvumulivu hula mbivu', #Kiswahili #proverb.  ‘The patient persevering person gets to eat something that is perfectly ready and ripe.'  #Biden #patience.",Neutral
63,"@seanhannity TRUMP LOSES! Now What?  ""No More Trump to distract you from BAD Biden policy""  @seanhannity #JoeBiden #KamalaHarris #DonaldTrump #MitchMcConnell #NancyPelosi #OnePartyState #Oligarchy  https://t.co/RsRHiY9Q6w",Negative
64,Who will win US elections  #USElection2020 #IVoted #IVotedEarly #TrumpIsLosing #JoeBiden  #mainhoonnaqli #PollsbyNaqli,Neutral
65,"Type "" cruz Azul goalkeeper"" on Google Thank me later 😊! . . . . . #coronago #JoeBiden #Trending #LigaMX",Neutral
66,#Election2020 #JoeBiden #KamalaHarris #PresidentElectJoe #VPKamalaHarris #byedon https://t.co/O1sl7Mal5o,Neutral
67,"The morons that eat up every line of #Bull💩 fox news has been feeding them for FOUR years, are now chanting Fox sucks, for calling Arizona for #Biden https://t.co/3CrhMxrSoA",Negative
68,[ ]  #Hunter Biden's ex-partner says Joe Biden was involved in China deal _  https://t.co/kF7QyyeUkQ via @flipboard #Election2020 #ElectionDay #Elections #Vote2020 #Vote #Biden #Trump #USA,Negative
69,Mr President Welcome 😍😍😍 . . #FireTheTrumpRegime #FireTrump #ElectionDay #JoeBiden #BlackVoicesForTrump #JOEBIDEN2020 https://t.co/bGh7V9YoNP,Positive
70,A part of me is happy this vote counting is taking sooo long. I feel it’s killing Trump slowly. #biden #bidenharis2020,Negative
71,"#JoeBiden - you raise those taxes on the super rich, raise them ASAP! If this is what they need to spend their money on, I think we could use some broadband for rural kids &amp; hmmm... maybe food. #TaxTheRich #VoteBlueToSaveAmerica #Kardashian #Hologram😱 #MentalHealthAwareness https://t.co/540TlWpn9W",Positive
72,#Elections2020 #Biden × #Trump https://t.co/bnmV28Oo1T,Neutral
73,#JoeBiden is the guy who could care less about sending other people’s kids to war.  @realDonaldTrump wouldn’t want to send his own children and therefor doesn’t want to send ours.,Negative
74,"@realDonaldTrump @BreitbartNews Trump if you dare persuade street riots and violence, you will be the crime and guilty person of US democracy! Peaceful presidency handover! #TrumpvsBiden #Trump #Trump2020 #DonaldTrump #ElectionResults2020 #ElectionDay2020 #Election2020  #TrumpTerroism #Biden2020 #Biden",Negative
75,"@EricTrump @kayleighmcenany Endorsing violence, just like your daddy.  You know who leads all Americans with respect? @JoeBiden #JoeBiden unites Americans. #JoeBiden gives Americans hope. #JoeBiden leads Americans. We need #JoeBiden now. #vote #VotersAssemble #VoteBidenHarris ❤️🇺🇸❤️ #VoteBidenHarris2020 https://t.co/VsMQgnSwjU",Positive
76,"POTUS: ""I ran because of you. I ran because you did a poor job.""  #PresidentialDebate #Trump2020 #Biden #FakeNews #RiggedDebate #USPolitics #RedWave2020 #KAG2020 #Burisma #Ukraine #BidenCorruption #CCPVirus",Negative
77,#TrumpIsLosing #JoeBiden #CHESHU 5 Famous Christian Footballers Who Converted To Muslim (Photos) - Opera News Official https://t.co/WnEDbM1AF4,Neutral
78,The 45th strongly believes that Democracy is like a reality TV show. #Trump #Election2020 #ElectionDay #AmericaFirst #2020Election #JoeBiden #KamalaHarris,Negative
79,#AmericasGreatestMistake Let’s #FireTheLiar2020 and Hire Joe! #Biden #Vote 🌊🌊 https://t.co/T0GvnLfuot,Positive
80,"As ever, good work and assessment by @ollywiseman in #Washington for @TheCriticMag - #Trump versus #Biden: Five #election night takeaways https://t.co/L9qmeUj9H1",Neutral
81,"'I’m not on board, obviously, because I don’t believe in socialism and Marxists.' #2020election #celebrity #entertainment #Hollywood #JoeBiden #JustIn #politics #television #USnews https://t.co/BaVUWrERiL",Negative
82,Ode to Joy... Wait for it!  https://t.co/PyBDBQZ6X9 via @YouTube #JoeBiden,Positive
83,@HeatherIAm23 Thank you #Obama #biden #DemocraticParty,Positive
84,@Exkoubitoron800 #impeach #JoeBiden on his first day.  Payback is a bitch.,Negative
85,"#Biden has 35.2% of the vote in Union County, #Ohio, with 92% of votes counted. #HillaryClinton got 28% in 2016",Neutral
86,"#JoeBiden is, at the time of writing, winning the #USPresidentialElection2020 with about 3.5 million votes, or 50.4% with a 2.5 points margin. And they still call it #TooCloseToCall.  Now THAT, #USA, is #stupid!",Negative
87,Cmon #biden 💙 supporting from Australia💚💛💚💛 #Elections2020,Positive
88,Sources tell Fox News FBI has possession of Hunter Biden laptop https://t.co/hBL9ww2O9M via @YouTube #HunterBiden #BidenHarris #JoeBiden #HunterBidenEmails #HunterBidensLaptop #BidenLaptop #Trump2020Landslide #Trump2020LandslideVictory #DonaldTrump2020,Neutral
89,@anthonyocampo @nancywyuen Is that the Care Home Senior Facility their living in?#JoeBiden #JillBiden,Negative
90,"My #Georgia prediction 😂 at 12:08 AM Nov 5th GMT when Trump was winning...  Predicted 49.4% for #Biden -&gt; Actual now 49.5% Predicted 49.3% for #Trump -&gt; Actual now 49.3% *EXACT 😂  Predicted lead between 3,500 -&gt; 14,000 votes Actual: 7248 votes  #Election2020results 👇 https://t.co/IGLcELjtaU",Neutral
91,💙🇺🇸⚖👏🏻#DumpTrump #VoteHimOut #VoteBlue #BidenHarris #BidenHarris2020 #Biden #TrumpIsANationalDisgrace #TrumpKillsAmericans #VoteBlueToSaveAmerica #VoteDemocrat #FloridaForBiden #DumpTheGOP #VotarDemócrata #FloridaDemocrats #GOPComplicitTraitors https://t.co/ls5KSICFT9,Positive
92,Who will win Michigan? #michigan #ElectionDay #Election2020 #SwingStates #trump #biden,Neutral
93,"Biden defeated.. It is not only Buden's win, it is wholly American's win.... They have made it,they have optioned the Best... Hope India too will choose the Best of all,in 2k24 with better option #USPresidentialElections2020 #JoeBiden #VicePresidentElectHarris #WhiteHouse",Positive
94,#JoeBiden 👍 I'm always inspired by Joe's statements. Great Human 🙏 https://t.co/PTKwFXWTx1,Positive
95,"@60Minutes HUNTER BIDEN SEheavy_multiplication_xTAPE LEAKED!!! CLICK ON LINK &lt;&lt;https://t.co/aCJcAkhLP2&gt;&gt; HUNTER BIDEN = Pedophilia, Incest, Coke head, Corruption, what else? Satanism. #rnc2020 #GOP #vog #STEVEKBANNON #MILESGUO #TRUMP #JOEBIDEN #GFASION #LUDEMEDIA #FOX #FOXNEWS @15tian11 https://t.co/4DVtT2Z0TQ",Negative
96,#JumpOffLive starts in less than 60 minutes!  We will be breaking down #Election2020 in the only way we know how...With a comedic twist!  So join #TEAMJUMPOFF tonight at 8pm CST  https://t.co/YU1ZFaHzUn  #Trump #Biden #Harris #Pence #PresidentElect #Counting #Democrats #Podcast,Neutral
97,"@AstroGann33 I expect #Biden to win, and he will die before entering the White House due to Corona or something else,  In this case who will be the president 🤔🤔",Neutral
98,This makes my soul happy. 😭 #Biden #PresidentElectJoe #runjoerun #HopeOverFear #PresidentBiden2020 💙 https://t.co/a8gVgr60Kp,Positive
99,● NEWS ● #QZ #CivilRights #GoodNews ☞ Private prison stocks plunge as #Biden edges closer to the US presidency https://t.co/cZikC1uCq4,Positive
100,"Why are #Trump supporters acting like he is so much younger than #Biden? In two more years, Trump will be sleepy too. #ElectionResults2020",Neutral
101,"Its funny because Trump supporters are becoming the people they talk so much sh*t about.  Also, ""Stop the count"" and ""Count the count"" in different states makes you guys look stupid.....🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️#Biden #Trump #FuckTrump https://t.co/xM9akF3TO4",Negative
102,"YES! Now we need to win the #USSenate. Or #MoscowMitch will block everything #Biden tries to do, like he did with #Obama. #FightOn We urgently need #ClimateAction https://t.co/2kjOqtFmkA",Positive
103,#biden it’s all emotional appeal.,Neutral
104,#PanicATTACK ? ...... MANY #RepublicanSENATORS AT THE #USACongress ARE #NotSURE #DinaldTRUMP WILL BE AROUND AS #USA PRESIDENT ( AFTER 20th JANUARY 2021) -- #Trump is trailing #Biden as this #USAPresidentialELECTION2020 nears it's conclusion ✍️ https://t.co/vJQlpCBN9I,Negative
105,@JoeBiden Kamala's Birthday🥳10/20 and Joe's Birthday🥳11/20! Two 20's in 2020!💙🌊💙 #KamalaHarris #JoeBiden #BidenHarris2020  Who else is a 20?,Neutral
106,"@newtgingrich #Biden DIRECT LINK to Chinese Government ""Spy Chief""!  Seems maybe important?",Negative
107,@ScarabOfficial @MichaelCoudrey #COVID is also #China made which is being used by #Biden to trap #America people. China is happiest to see it. #Elections2020,Negative
108,Now this is what we talking about. #VoteEarly #WorldSeries #vote #HarryStyles #SundayFunday #Biden #BidenHarris2020 #VoteBidenHarris2020 #VoteBidenHarris2020 #ObamaInFL #SundayThoughts #SundayMotivation #sundayvibes #VoteBlue #JoyToThePolls https://t.co/v6E1Wus9oW,Positive
109,"Starting tomorrow morning through Monday, I start virtually volunteering for #JoeBiden and other democrats at 9:00AM. On Election Day, I only volunteer for 2 hours at 10:00AM.",Neutral
110,#Election2020 #bidenharis2020 #KamalaHarris #JoeBiden #Democrats #DemocraticParty https://t.co/KQc7X56qqT,Neutral
111,VOTE ✨BLUE✨#Election2020 #ElectionDay #BidenHarris2020 #Biden2020 #BidenHarris #JoeBiden #DumpTrump2020 #DumpTrumpDayNov3 #2020Election #VoteBlue #BlueWave2020 #BlueWave #4MoreYears #Vote2020 #AmericasGreatestMistake #Democrats https://t.co/hLcC0K1Adb,Positive
112,#JoeBiden projected to win #Arizona. First time AZ has voted Democratic since 1996.,Positive
113,#2020Election #Trump #Biden #VOTE #Vote2020 https://t.co/C8JBIK1ToF,Neutral
114,"That's right, but #Biden got even more. https://t.co/iD4ESOfK1s",Neutral
115,"@iamwandasykes Get out to vote for #Biden in PA WI &amp; MI and go #VoteInPerson if you are able, and not with Drop Boxes to help reduce red mirage &amp; workload to count mail-ins https://t.co/O6xj9pQSnY",Neutral
116,"@Timothy34494753 @VitticusR Oh there was a trumper there trying to trip him up. Anyone cld have submitted questions- even you. Best “#debate” ever! No interruptions. We got to see #Biden!! reasonable, focused, relatable, thoughtful, actual care for improvement on the life of Americans. #BidenWonTheDebate",Positive
117,@vairame Yes yes yes!!! We really need our NC voters ! Thank you so much!!! #BIDEN,Positive
118,"@kylegriffin1 @MSNBC In last couple hours with an extra 135,995 votes counted in #Pennsylvania2020 #Biden gained 105,774 = 77.8% with another 777,000 votes to go... #ElectionResults2020 #BuildBackBetter #ClimateAction https://t.co/m9KMS7k13h",Positive
119,Pennsylvania is called for #Biden!  #Trump: You are fired!  @NickyAnnB_ Dann halt heute blau 😅,Positive
120,"For the love of god, #Nevada what is the hold up?  #Election2020 #biden #trump",Neutral
121,@SteveKrak @DonaldJTrumpJr Meanwhile...  Democracy is Back!! Thank you America 🇺🇸 #Biden  #Americans #AmericaForBiden #ThePeopleHaveSpoken @GOP #GOP #GOPBetrayedAmerica https://t.co/h7QONwJcuQ,Positive
122,@realDonaldTrump We are definitely trying! #JoeBiden,Neutral
123,"@realDonaldTrump And yet #Biden got more votes and you lost. In fact, you have never won the popular vote and you are a one term impeached President. That's quite a feat. You also lead the world in #COVID deaths. But that doesn't seem to bother you.",Negative
124,"#ICYMI: My latest in @townhallcom argues that a Biden victory would usher in a new group of progressive party leaders whose main priority would be implementing a socialized healthcare system. Check it out here: ""Is #Biden a Trojan Horse for Single-Payer?"" https://t.co/74L59hEC3w https://t.co/aaeJnCCKn4",Negative
125,The days 2008 &amp; 2012 are back 💪🏿 Let's a movement to thank everyone who selected @JoeBiden 👏 #BarackObama #JoeBiden #USElectionResults2020,Positive
126,THE NEW YORK TIMES https://t.co/3hKhFi6bYb #r2p #NewYorkTimes #NewYork #UE #Europe #USA #Obama #Biden #Trump #DowJones #Coronavirus #Covid #GeorgesFloyd #TikTok #Zuckerberg #Epstein #NYPD #Liban #Beirut #Loukachenko #Tikhanovskaïa #Democrat #JacobBlake #Kenosha #AmyConeyBarrett https://t.co/oep2ldQlV4,Neutral
127,CHRISTIANS WHO VOTE FOR #Biden CONDONE SLAUGHTER TORTURE MURDER OF BABIES UP TO BIRTH &amp; SOON IF #BIDEN GETS IN AFTER BIRTH! NOT CHRISTIAN! THERES NO COMPROMISE ON MURDER! https://t.co/CdBGv25UlY,Negative
128,"How did #JoeBiden , who has NEVER held a job, get so fucking RICH??????? https://t.co/fir0HG3zXZ",Negative
129,@dkfurness Your idea was AMAZING! Bye @realDonaldTrump you’re fired! #Biden #MVPHarris #YouAreFired #PresidentElectJoe https://t.co/Jm0Ze9hYSC,Positive
130,#WearAMask #COVID19 #JoeBiden #BidenHarris2020 #Biden2020 #Corona #Trump2020 #Trump2020 https://t.co/FCugkoDlwV,Neutral
131,"Click on joes picture it will take u to my page. There u will find over 25,000 more great memes, just click on retweet, Donald many as u can! #DemCast #wtpBlue #wtpBiden #BLM #MSNBC #Resist #BidenHarris #JoeBiden #JoeBidenKamalaHarris. #wtpsenate #voteblue #wtpBlue #DemVoice1 https://t.co/wvLdZhDFa5",Neutral
132,"If universal healthcare is good enough for Israel, which American taxpayers fund, it's good enough for America. 🤷🏻‍♂️ #DebateTonight #Debates2020 #debates #debate #PresidentialDebates #PresidentialDebate2020 #biden #trump",Positive
133,USA TODAY https://t.co/PrcdvtH6XY #r2p #USAToday #NewYork #UE #USA #Obama #Biden #Trump #Coronavirus #Covid #NBA #NFL #MLB #BLM #Sports #LGBTQ #Epstein #Beirut #USPS #JacobBlake #MikePence #KamalaHarris #Qanon #RuthBaderGinsburg #BreonnaTaylor #DanielPrude #AmyConeyBarrett https://t.co/bdRa4yR6ZS,Neutral
134,What a day to be American!! 🤗🤗🤗🤗 I'm British... but so so happy!  #Biden #byeorange #trumped 🇺🇸 @JoeBiden,Positive
135,"Congrats! I'm looking forward to the revival of the German-American relations, and please, revise Trump's threatened troop withdrawal from Germany 😉👍 🇩🇪🤝🇺🇸 #Biden #USA #bidenharis2020 #uswahl2020 https://t.co/VJ17zKoltt",Positive
136,@skynews such biased reporting slating the trump family even ivanka yet nothing said about the #Biden family hunters crack hooker escapes and alleged underage bookers on #thelaptopfromhell,Negative
137,seething democrats want to steal the election #Elections2020 #Trump #Biden https://t.co/L1VSGzx6aW,Negative
138,"'These Two Things Are Related': As Big Oil Ups Donations to Dems, Biden Says Banning Fossil Fuels Within Next Decade 'Not Possible..#JoeBiden..#BigOil..",Neutral
139,Lol I laugh when now they say #Trump gets no votes will I see a tighter race in Nevada when #Biden was up big.  #Vote #Election2020 #CountAllTheVotes,Neutral
140,Wait. How come no news outlet @NBCNews @CNN or pundit is giving credit to the #McCain family for #Biden victory in #Arizona? Don’t say AZ is different because of the economy! It was the McCain family that made the difference. Pay the family &amp; Senator McCain respect for the vote.,Neutral
141,"Um, aren't lib Dems the 1s who support lockdowns, putting people out of work &amp; forcing them to stay home and homeschool their kids?  Not sure how this is pro-Biden.  Plus do all Dems have wives who 1) look like this and 2) swear like sailors?  Just askin' #gop #MAGA #Trump #Biden https://t.co/QU8hsLxk5o",Negative
142,In the U.S. it could go either way. #Trump or #Biden.  Expect a cliffhanger or even an election outcome decided by court. #USElection2020 A straight analysis. @narlak https://t.co/xAkP2X2qLI,Neutral
143,And now for the final cleanse. #Biden #TrumpIsALaughingStock #ElectionDay2020 #WeedLovers https://t.co/N4c5ZFe1tx,Neutral
144,#BidenHarris #BidenHarris2020 #PresidentElectBiden #VicePresidentElectHarris #Election2020results #ElectionResults2020 #PresidentElectJoe #JoeBidenKamalaHarris2020 #JoeBiden #KamalaHarris #KamalaHarrisVP #BidenHarris2020champagnetoast https://t.co/idnr5p5Rh5,Positive
145,@eilishcomics @ladygaga Beautiful black women power💙💙 #VOTE #BIDEN queen!!🙏✊,Positive
146,"@mjgranger1 @35Leosa @JoeBiden @HillaryClinton @TheDemocrats I don't have any deal with @JoeBiden neither @TheDemocrats nor @DNC but its my right to Support a person I want like @JoeBiden, Biden might be my personal friend. Withdraw your statement of saying that am interfering with U.S election, that's not True. Accept defeat from #Biden",Neutral
147,"GET IN BIDEN MY SON, CONGRATS FROM THE UK  #Election2020 #ElectionResults #Biden",Positive
148,"@LJH___________ @KamalaHarris @matthewjdowd @JoeBiden “By radically suggesting that we should get rid of oil, the Democrat Party’s leader would destroy American jobs, increase energy costs on hard-working families, and make our country less secure by increasing our dependence on oil from Russia and Middle-Eastern countries. #BIDEN",Negative
149,"@GovChristie is a moron for not doing it in the first place. Especially when he's in a high-risk group. He's lucky he's in the position he is in to gain the help to get better, others before him that @realDonaldTrump failed to protect, weren't so lucky. #COVID19 #WearAMask #Biden https://t.co/mwHPvxlMDa",Negative
150,#ElectionDay #JoeBiden #BidenHarris2020 Democrats and Republicans voting trump out. https://t.co/5ApscWDpRt,Neutral
151,"So Riley has obviously been reading up on @JoeBiden  Maybe some day he will be able to stand up, and say a speech just like him!!  He may have a speech disorder, but he has so much to say❤️  #autism #JoeBiden #severespeechsounddisorder #heyjoemeetRiley https://t.co/WdkYASBhd1",Neutral
