Tweet Number,Tweet,Sentiment
36,Amen 🙏 #vote #votetrump #redwave #RepublicansForTrump #SaveAmerica #trump #4MoreYears #KeepAmericaGreat #DrainTheSwamp #VoteRedLikeYourLifeDependsOnIt #MAGA #KAG2020 https://t.co/KxE8WXl5sZ,Positive
37,Come andrà a finire?  #Trump #TrumpMeltdown #CallTheElection #CallTheRace #Election2020results #BidenHarris2020 @realDonaldTrump @POTUS #webcomic #fumettiitaliani #vignetta #fumetto  #umorismo #satira #humor #natangelo https://t.co/8aC6CCzYhD,Neutral
38,"#leadership requires strength, patience, compassion and diligence. #DonaldTrump has none of those traits. https://t.co/XBLQqk225D",Negative
39,#BernieSanders predicted this scenario with #trump.  #Election2020 https://t.co/5SB1aF5gSr,Neutral
40,"Delusions &amp; desperation is all he has left. #Trump is behaving like he knows he's losing. No grace, no class &amp; not enough intelligence to realise that his legal challenges will fail because his threats were anticipated. Vote counting has already been scrupulous. #JoeBiden2020 https://t.co/fZRFZhD6R6",Negative
41,"Hey #gop, guess what? I voted for Hunter Biden's dad, last week. Very Proud about it!!! Go Uncle Joe #JoeBidenKamalaHarris2020 #NYC #FoxNews #TRUMP #HunterBiden #Hunterbidenlaptop",Positive
42,This song came on and is fitting... #PresidentBiden #TrumpIsLosing #Trump #TrumpMeltdown https://t.co/UNUQG3ro3a,Neutral
43,It seems that #COVID has affected #Trump’s brain. It can do that.,Negative
44,#TrumpIsALaughingStock right now! #SavannahGuthrie has definitely proved me wrong. I thought #Trump was gonna roll over her. But it’s quite the opposite!😂😂 #NBCTrumptownhall,Negative
45,"MONTHS AGO I TWEETED If trump loses election, all democrats are liars. Because they said trump will win again and theyll be russian collusion. #DemocratsAreCorrupt #JoeBiden #DonaldTrump #Trump #RussianCollusion #Election2020 https://t.co/2KXQIJFmaj",Negative
46,"@realDonaldTrump Women in swing states realise they were duped in 2016, seeing 4 years of #Trump's bullying, sexism and racism. Read about these women in Iowa. The fact they are afraid to publicly reveal they are anti Trump confirms the hate and division Trump has created  https://t.co/Yz2WCOKUml",Negative
47,The last four years of the #Trump Administration have been the single biggest case of public masturbation in human history.,Negative
48,@LATiffani1 Democrats spent 50 million investigating fake Russian election scandal. They shouldn’t have a problem investigating #VoterCorruption &amp;have already given us a known budget. 🇺🇸 #VoterFraud #VoterID #Trump,Neutral
49,"@kylegriffin1 Well it looks like #Trump is going to have to fire and replace that official, too - along with all county executives, Mayors of major cities, and city school bus drivers.",Neutral
50,Please read my essay: Video of #PaulaWhite praying for #Trump victory goes viral! https://t.co/myOQwsqGzr https://t.co/3OuyKZTTT4,Neutral
51,"#Trump losing this election in this fashion in this sad way is the best thing that happened in 2020, agree ?  #Elections2020",Positive
52,So many #trump supporters have American values in their bios. Quite happy though to have democracy undermined and not count the votes of serving military.,Negative
53,"@realDonaldTrump That's the problem here #Trump with healthcare with one single word you said, ""private""  #TrumpChinaBankAccount",Negative
54,#Obama just broke SNL style after repeating #trump ‘s self comparison to Lincoln.,Neutral
55,@DokClinton You may be right Clinton. #Trump himself has admitted that 'he will have to see' if he accepts the results! @KieranDavidBurt explores how this could damage #US democracy. Let us know your view👂🇺🇸 #ElectionDay  https://t.co/GaVsY4DAHO,Neutral
56,"@RawStory Mirror, mirror on the wall Who will catch him when he falls Weighted down with lard and envy Tortured by what he never can be #Trump won't even leave a shadow As History buries this execrable fellow",Negative
57,Trump's chances hinge on a polling screw-up way worse than 2016 https://t.co/EQMuC3NvN5 via @politico #Trump #Biden #Polling #Campaign #Election #Biden2020 #GOTV #Turnout #Voting #Vote #Voters,Neutral
58,The only thing that is terrible and dangerous about the US election is you #DonaldTrump #VoteHimOut #GodSaveAmerica,Negative
59,Time to finish this. #Trump https://t.co/cNsL7qPbu9,Neutral
60,"This is what happens when Rudy goes off his meds. The problem is, his pre-existing condition of terminal schmuckness is no longer covered by health insurance, thanks to #Trump. https://t.co/A7ATDuKewH",Negative
61,#Trump: “I’m the least racist person in this room. I look out and I can’t even see the audience.”  Audience: https://t.co/OnKQLCYvEo,Neutral
62,Why do we all have to be different #wethepeople. #joebiden be laughing at the #trump. #supportfirstresponders.,Neutral
63,#Gingrich advises #Trump to have #BillBarr arrest election workers in #Pennsylvania and then have the state legislature throw out the results of the election. But where’s Bill Barr? 🤷‍♀️,Negative
64,"@atrupar You can't ""give up"" on something you made no effort to do. #trump #trumpfail #trumplies #trumpkills #GOPbastards #gop",Negative
65,.#Trump almost sounds like he’s conceding without conceding. #ElectionNight,Neutral
66,#TrumpsAmerica via #TrumpSupporters are not WHO WE ARE!! Once #Trump is removed from the WH his supporters can either calm tfd or go with him. #AmericaOrTrump #America is better than this! #BidenHarris2020 https://t.co/aFse2ilGiq,Negative
67,HAHAHAHAHAHAHA. Gottemm. Biden always changes his mind to fit the narrrive of the left at that point in time. #biden #trump #bidenfake https://t.co/dUtKGrE3P3,Negative
68,@DannK_9 No he won't #Trump,Neutral
69,#MAGA•#KAG•#Trump•#TrumpLandslide•#2A•#NRA•#AmericaFirst•#TeamTrump•#TrumpTrain•#Conservative•#DrainTheSwamp•#BuildTheWall•#LockHerUp•#RedWave•#Deplorable•@realDonaldTrump•#GOP•#Republican•#ProudBoys  👇—((( 𝗧𝗥𝗨𝗠𝗣 𝗩𝗜𝗗𝗘𝗢𝗦 )))—👇 https://t.co/hxlzN1zwn5,Positive
70,Please vote! #ElectionDay2020 #PresidentoftheUSA #DonaldTrump! vs. #JoeBiden! 🇺🇸 https://t.co/q8qizSCHBl,Neutral
71,@RichardTrumka you are so full of CRAP! The members of these unions would agree. #Trump takes care of us average folks! You've been bought by Wall Street! You didn't force ANYTHING! #RedWaveComing,Negative
72,Hmmm president trump please look at this. It’s not right. #DonaldTrump #PresidentDonaldTrump https://t.co/c7V8OOswFP,Neutral
73,"When satanism be supporting Joe, watch this video.  “ And the gates of hell will not prevail For the power of God, has torn the vail”  #donaldtrump2020 will win #DonaldJTrump #PresidentialElection2020 #ElectionDay2020 #VoteTrump #DonaldTrump #ElectionDay #Trump2020 https://t.co/LLqIlvqBTD",Neutral
74,careful what you wish for:/  #bidenharis2020 #ByeByeTrump #Election2020 #Trump https://t.co/ws15dSfKvv,Negative
75,#electionday #election2020 #trumpmeltdown #trump #elections2020 #electionresults2020 #election2020results #WhiteHouseOutbreak #WhiteHouse {@WaWe970} https://t.co/gcKnAygfr8,Neutral
76,I have identified 70 tweets mentioning #TRUMP that were tweeted by inauthentic accounts. More information here: https://t.co/E5MBaNCDfC,Neutral
77,It's time to move to an era of healing.  Be excellent to each other.  Strong people lift the weak up and help them to become stronger  #Election2020  #DonaldTrump  #JoeBiden  #KamalaHarris,Positive
78,@realDonaldTrump #trump is pretty much giving his approval.  #WhiteSupremacists are #DomesticTerrorists.  This video is from a different event but it shows the violence #Nazis create by antagonizing #Protestors. https://t.co/hYBc3I5u96,Negative
79,"Yesss!! Thank you, @senjudiciary. #BigTech #Twitter #Censorship #1stAmendment | #Trump 🇺🇸 https://t.co/1SnlTZQbmn",Positive
80,@funder #SundaySenateBlueWave  @AmyMcGrathKY #KYSen #Kentucky #KY #democracy  #COVID19 #coronavirus “#dereliction” @senatemajldr #McConnell #MoscowMitch #MoscowMitchMcConnell #SCOTUS #obstruction #FlipTheSenate #Chao #taxhavens #FifthColumn “@POTUS” #Trump #TrumpRussia #khamodemocracy,Neutral
81,#Trump again tonight refused to commit to a peaceful transition of power if he loses the election. @donmoyn @robertjshea @jorge_guajardo @JLPerrySPEA @janeriklarsson @pwolodarski @pjmooney @janeefountain  https://t.co/ufjC8kpHBJ,Negative
82,Trumpism 🐘  Newsbites  🐘 Trump's messaging strategy has been blown to pieces as Biden comes w/in striking distance of the WH  🐘 Trump insists he won &amp; rants about phony polls as he trails Biden in the race for the WH  More ➡️ https://t.co/i5r5HCZY9o #dumptrump #trump #Trumpism https://t.co/j1aaTQiQRb,Negative
83,#MorningJoe What has idiot #Trump done? Lied about the pandemic. Told folks to listen to him not to science. Encouraged reckless behavior. No masks. No social distancing. Done much to spread the virus and increase the number of dead  Americans. Damn him. https://t.co/meXPpQI2vE,Negative
84,@YogiSnax @Beatrice_Dupuy Who cares who these rappers vote for ? I don’t see any of them risking a damn thing to empower the people and culture that has made them billions .. it wasn’t that long ago they couldn’t keep #Trump’s name out their mouths they made him a HipHop enigma so whatever,Neutral
85,#Trump critics talk about Trump more than his supporters do 😒,Neutral
86,Go @realDonaldTrump you surely can get more shit done than @JoeBiden #USElection2020 #USAFacts Biden &amp; Obama are loveable. Love their speeches but #Trump is a better fit to be #theUSPresident https://t.co/FqmCe10wrl,Positive
87,@thenumberofrest @tonymess @Twitter @JoeBiden Btw I voted against #Trump &amp; absolutely despise him. But now that all votes are cast (and will hopefully be counted) we can freely state that the #DemocraticParty needs to respect #Progressives and stop being typical politicians.  Can they get rid of Qualified Immunity for cops?,Neutral
88,"""#Politics Today News: List of celebrities’ political leanings turns up in probe of #Trump’s anti-virus campaign #News"": https://t.co/ZtnP0kqkMK",Neutral
89,"""Law &amp; Order"" my fuzzy arse! @realDonaldTrump #Trump #TrumpHatesOrder https://t.co/Kul684OFKh",Negative
90,if #Trump will not leave #thewhitehouse when he lose the election 😂😂😂😂😂😂😂😂😂 #AlJazeera #Election2020 #realDonaldTrump #BidenHarrisToSaveAmeric #انتخابات #AmericaVotes2020  #AmericaDecides #انتخابات_الرئاسة_الأميركية #JOEBIDEN2020 https://t.co/lOoscIw4yT,Neutral
91,#AlanJones former theme song Laura Branigan’s Gloria again on #Trump’s rally playlist in North Carolina.,Neutral
92,"@Rpjulie1 You all are so brainwashed no wonder they consider you all the #Zombie learners.  Where you all screwed up is on your accusation storming was that when all this info was coming at #Trump you folks believed all, and it was proven false, nowwwww its #Russia Disinfo cause of Joe.",Negative
93,7 days to vote to #MAGA with #DonaldTrump  or see it slip in to a #Socialist nightmare run by #Laughinghyena #KamalaHarris https://t.co/EyOx09I96I,Negative
94,‘Shy’ Trump voters are STILL too embarrassed to say they will vote for Trump. Why vote for him then ?  https://t.co/mMiKXO8qtE via @YahooNews #Elections2020 #Trump,Negative
95,"@shekharsuman7 At least @realDonaldTrump does not shy away from speaking the truth and his heart out!!  At least #Trump  didn't lose his country for wealth!  And #BidenHarris2020 are a fake duo, who have anti-indian polities as well they won't be able to even fight the main issues as USA does🙏🏻 https://t.co/NxXeb2CrT4",Neutral
96,QAnon supporters behind canceled Pence fundraiser gave Trump $1 million by #Trump loved Qanon  https://t.co/GPvcE3hGcx,Neutral
97,Good Bye ✌️ Président #Trump ! we keep good memories #USAelection2020 https://t.co/HKD0xiupYy,Positive
98,BREAKING LIBERAL HEARTS: Donald Trump Set For Biggest Landslide Victory In American History. Enjoy the tears 😂 #TRUMP2020Landside #VoteForTrump #cosplay #DonaldTrump #WWG1GWA #MAGA #MakeAustraliaGrouseAgain #BlockMe #IDGAF #Vote1 #Senator #Papahatziharalambrous #4MoreYears #VOTE https://t.co/gS2aqUQuei,Positive
99,"@MeidasTouch #TrumpDepression got furloughed for 14 weeks , no unemployment, no any help, no benefits, until this day no retro pay. I blame #trump and his puppet #DeSantis for Florida unemployment mess @FLDEO This current gov don’t care for us, vote people!",Negative
100,"#Covid May Have Caused Far More Deaths Than Previously Thought, Study Finds via @forbes https://t.co/CeAhL1pkiq .@realDonaldTrump .@POTUS .@VP .@WhiteHouse .@GOP .@GOPChairwoman .@SenateGOP .@GOPLeader #Trump #TrumpVirus #COVID19 #COVID__19 #coronavirus",Negative
101,If it was #Trump who had #253 the #Media would have rallied and tallied up those 17 points on Tuesday and declared him #President. #Election2020,Neutral
102,"'#Trump calls #Biden gloomy but he’s the one threatening the apocalypse if he loses — low-income hordes overrunning pristine suburbs, scary immigrants streaming north, a stock market crash and a cadaverous New York City.' Id. https://t.co/79g098n12Q",Negative
103,"@realDonaldTrump YOU ARE THE DAMAGE. YOU’RE GASLIGHTING THE AMERICAN PEOPLE. Count all the votes! That’s literally, an election. *I’ve won fair and square in a fraudulent election!*  do you listen to yourself? #TrumpvsBiden #trump #biden #USElection2020 #USAElections2020",Negative
104,"#Trump and @VP are using the #MAGA slogan again in 2020.  They were on #KAG, 9 months ago.  What happened? Maybe a failed pandemic response? An utter moral failure and ethical failure to protect American lives? If you still need to Make America Great Again after four years, wow. https://t.co/8o8DyracIE",Negative
105,"Why not present ALL details of Russia Gate by the agencies, or maybe time to “shut those agencies down” #Trump #fbi #cia #Election2020",Neutral
106,"@cryborg Stepping down. Carried out kicking and screaming. Potato, potahto. If #Trump loses, he's no longer POTUS at 12:01 PM on January 20, 2021 and will be trespassing if he's physically still in the White House. The Constitution is clear. What a spectacle he's setting up.",Neutral
107,#Trump right now....  #TrumpMeltdown #TrumpIsLosing https://t.co/TkiD4zwVW5,Negative
108,@marklevinshow @realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/EHpJ8NoIeH,Negative
109,@realDonaldTrump @60Minutes #Trump can’t handle a seasoned reporter who asks him relevant questions and backup questions.The interview was too difficult for him and he can’t stand intelligent women. They make him feel like he’s ignorant which is true! #TrumpIsANationalDisgrace,Negative
110,"@twisturnugg It is another paradox.  If #Trump had any capacity for diplomacy with our international partners, his China stance could have been a win.  Instead his boorish ignorance diminishes us.",Neutral
111,"*I really think it is INTERSETING update.* Even-though #Trump has lost his campaign is still ""activity"" raising fund. 1% of the fund should go to ""Donald J. Trump for President, Inc"" (?) 99% of the fund goes to ""Trump Make America Great Again Committee"" which is 1 of 4. https://t.co/LbCHtmvIxt https://t.co/xjouCa8zBh",Neutral
112,and those who do so will bring judgment on themselves. Romans 13:1-2 #2020Election #2020ElectionThoughts #NoMatterWhat #GodIsStillGod #GodIsInControl #SaturdayThoughts #JoeBiden #DonaldTrump https://t.co/D6SStTqUt2,Neutral
113,"@realDonaldTrump President #Trump is right! The same thing is happening in all other countries. Even here in #Japan, where #media #brainwashing is powerful, people are awakened and standing up to this terrible #coronavirus deception. #NopcrTesting #nolockdown #NoMask https://t.co/Lh7SlGrHIb",Positive
114,Exciting #USAElections2020 #Biden #Trump https://t.co/NlqqKkTae4,Neutral
115,Mentally ill. #MentalHealthAwareness #Trump nonsense flagged by Twitter 👇🏼 https://t.co/X05OPjSApb,Negative
116,"#Trump is highly unlikely to win the election without #Florida, so getting all the ballots back is important.  See the prior link if you want to help out! 2/2",Neutral
117,ইতিহাস গড়লেন বাইডেন #Baiden #Trump #TrumpVsBidenFight #TrumpvsBiden #USAElections2020 #USElectionResults #USPresidentialElections2020 #USElection2020 https://t.co/AuUeZFC0fr https://t.co/cdXtVJd1k7,Neutral
118,@MarkDice @GretaThunberg How dare you mark 🤣. It's funny that the #Leftists and the #specialone is tweeting about #DonaldTrump all day. It's like they have a crush on #PresidentTrump 😂.  If the #Republicans rigged the #elections then they would bitch about it also. Keep up the good work Mark 😁. https://t.co/eZnllPvDa0,Neutral
119,"We must MAKE AMERICA GREAT!!!!!!!!!!!!!  (1) AMERICAN TO ANOTHER #American AT A TIME!!! We must do better, #Trump is not a unifier, hes not the right leader for #USA #VoteBidenHarrisToEndThisNightmare and we will start really unifying #AmericaFirst then hold @JoeBiden to his word https://t.co/owv1vRUZxU",Positive
120,@w_terrence #Trump Pence 2020,Positive
121,Be the change!!! #trump #Trump2020 #TrumpChinaBankAccount #TrumpIsNotWell #TRUMP2020ToSaveAmerica #MAGA #MAGA2020LandslideVictory https://t.co/PS5DwPNDHR,Positive
122,ST. LOUIS POST-DISPATCH https://t.co/nhCBHXqZ6v #r2p #SaintLouisPostDispatch #SaintLouis #Missouri #UE #USA #Obama #Biden #Trump #DowJones #Coronavirus #Covid #Cardinals #BLM #GeorgesFloyd #Beirut #JohnLewis #Epstein #Kenosha #JacobBlake #AmyConeyBarrett #Harris #Pence https://t.co/z2XPnxam4I,Neutral
123,"Keep America Great!! #trump2020 #trump2020🇺🇸 #trump @ Powell Butte, Oregon https://t.co/kEw18Zl0u2",Positive
124,"@washingtonpost ‘The only thing Biden hasn’t plagiarized and stolen from another is his Dementia &amp; his failure of a son. Those are all his to claim.  He’s stolen his speeches, his campaign slogan and even his wife from another.  #VOTE  Red #Elections2020 #Trump 2020’",Negative
125,"Unlike the #tRump campaign and the White House, the #BidenHarris campaign takes responsible action to control the #COVID19 virus, even when it means curtailing travel. https://t.co/RIiINdaWdu",Positive
126,Das Musikvideo zu meinem aktuellen Song #AlleHoffnungVerloren ab sofort auf #youtube (Link in bio) #nature #fuckracism #gegenrassismus #blacklivesmatter #natur #earth #erde #trump #influenzer #rap #leben #hiphop #germanrap #musik #music #rapmusic #rapmusik #lyrics #words #artist https://t.co/Q79W4jj9hM,Neutral
127,"I love my man, I do not want a divorce but I refuse to let him whoop me to save our marriage. #domesticdiscipline Both #CardiB &amp; #Trump balling out during #covid ,whats the difference? kicking kids out at 18, is it too soon? #Iamsorry #podcast #htown https://t.co/dEzvzqfA1C",Neutral
128,Live @realDonaldTrump speaks at headquarters on #Vote2020 day! #MAGA #KAG #Trump Seaks https://t.co/DAA4GIwTNG,Positive
129,@stellaacquisto @KamalaHarris Heading to the #WhiteHouse Get packing #Trump https://t.co/q7wXSuioHY,Neutral
130,"My thoughts about the #Debate2020. 1. COVID IS NOT GOING AWAY! No matter how many times #Trump says it, it isn't true. #TrumpIsPathetic",Negative
131,Congratulations Mr @JoeBiden #joebiden #trump #biden #berniesanders #election #donaldtrump #vote #democrats #politics #democrat #blacklivesmatter #usa #republican #covid #bidenharris #bernie #blm #america #elizabethwarren #igottrust #IGOT #kgn #kgnfaarook #kgnfashith #kgnrashith https://t.co/AawOeJ3JVH,Positive
132,Not #NORMAL #Leadership  - No #Plans - No #Hospitals - No #Healthcare - #RefusesToLEAD or take #ProfessionalAdvice - Refuses to take action - Thinks it’s a #DemocraticHoax - Keeps up #HappyTalk  #DidntHaveToBeThisWay  #Trump #COVID19 #ACA #Champaign #Waukegan #Cicero #Bloomington https://t.co/Qe2IU391Rg,Negative
133,Judge dismiss Trump claims in Georgia and Michigan https://t.co/GpcLZwNd5E #Georgia #Michigan #news #PressRelease #Trump #vote #ElectionResults2020 #Election2020 #Elections2020 #elections https://t.co/OjfLavurDV,Neutral
134,Biden back as favourite to win election - online betting sites  Read More - https://t.co/2NdbBp7xQk  #bahrain #manama #GDNOnline #dxb #dubai #election #uae #donaldtrump #saudiarabia #joebiden #usa #kuwait #unitedstates #middleeast #worldnews https://t.co/yotfp4LoT5,Neutral
135,#DonaldTrump #PresidentTrump #Trump2020 #Trump2020Landslide #NewYorkForTrump #NewYorkPost #MikePence #MAGA #Elections2020 #ElectionDay #VOTE #VoteEarly https://t.co/pmAd2rpff1,Positive
136,Cyber attacks now are distracting from #Russian hacking of our election or providing #Trump cover regarding the #Russian hacking.  @cnn @msnbc @abc @nbc @AC360 @maddow,Neutral
137,Fuckin armenians supports trump bc what he offer them #trumpbidendebate #Trump #TrumpVsBiden2020 #Armenia #ArmenianAggression #StopArmenianAggression,Negative
138,"Sadly, I don't believe anything that comes out of the #WhiteHouse! This could simply be a talking point for @FLOTUS and #Trump! It's a shame that we the #American People think lies! Melania Trump details Covid illness and reveals son Barron contracted it https://t.co/uJLiguBeFb",Neutral
139,@TheRickWilson #trump is delusional,Negative
140,Listen to this music. @realDonaldTrump #DonaldTrump  https://t.co/tK7U3GFEZD https://t.co/vzrjUxcv0k,Neutral
141,"Food workers, rural Americans go hungry - #Biden #Harris #Trump #Pence #GOP #Republican #Democrat #Democrats #COVID19 #Covid #Coronavirus https://t.co/72JIAim3NL",Neutral
142,@EricCortellessa @what_speed This looks like more #DonaldTrump &amp; #PennsylvaniaGOP Corruption &amp; Desperation: The Commissioner is refusing to count validly deposited #ballots bc they didn’t arrive in time from a truck! What if the truck got stuck in traffic? The votes were still timely deposited! #ElectionDay,Negative
143,They see us gettin #votes &amp; they don’t like that go head &amp; try to strike boi we strike right back it’s like datttt 💯💯💯 ATTITUDEEEEE 😭😭😭🤣 #Trump #Biden #Voting #voteblue2020 #donaldtrump #fraudvoting #FactsOverDivas 😭🤣 https://t.co/4rlnc1I3Hs,Neutral
144,Someone please lock the door to WH while #Trump is playing golf.,Neutral
145,#nbcnews #abcnews #trump #trump2020 #Debates2020 https://t.co/FFkOvPTkBq,Neutral
146,#AmericaNeedsMichigan  Shout out to the petition circulators at #Trump rally #lansingtrumprally  #RecallWhitmer https://t.co/K7p3nzrHts,Positive
147,@Slate #Trump Was Horrified When He Won the White House in 2016 and is terrified of losing it in 2020...,Negative
148,"#Trump promised to ask the #SupremeCourt to weigh in on a #presidential race that is still too close to call, but the nation's top judicial body may not be the final arbiter in this #Election2020, according to legal experts  https://t.co/y1QVL6LAFP",Neutral
149,#JoeBiden - 213 #Trump - 118 #USAElections2020 #Election2020 #ElectionDay,Neutral
150,"@HotPockets4All It's because #RAPE,🍄 #HasNoVICTIMS!😒ASK #BRETTKAVANAUGH, #CLARENCETHOMAS, &amp; #AMYCONEYBARRETT?🤬I BET #TRUMP, #THESERIALRAPIST CAN #NEVERGETCAUGHT, BECAUSE #SerialKillersGoneSerialKillYo!☠️#JUSTLIKEPUTIN?🇷🇺#TRUMP ALREADY #PROJECTED, #WHATHEGONEDO, TO @JoeBiden! #SCOTUSLETSYOU!👌🏻 https://t.co/OexD1zGkgn",Negative
151,Fuck you @realDonaldTrump  👉🏼🖕🏻👈🏽 #ElectionDay   #Elecciones2020   #Trump  #Elections,Negative
152,#fourseasonslandscaping years of @realDonaldTrump of @GOP @WhiteHouse  #fourseasonstotallandscaping #TrumpTantrum #TrumpOut #Trump #FourSeasons #fourSeasonsGate #fourseasonshotel https://t.co/tEZSHnWrov,Negative
